ID,Question,Option 1,Option 2,Option 3,Option 4,Subjects,Answers
49,Which option Is CORRECT about endospore,Has a short dormant period,Endures extreme condition,Contains moisture for survival,Metabolically actively,Biology,D
50,Bacteria divide at exponential rate during which growth phase,Log,Decline,Lag,Stationary,Biology,B
51,Mesosomes are the invagination of bacterial cell structure,Plasmid,Cell wall,Cysts,Cell membrane,Biology,B
52,Female reproductive system consists all of the following EXCEPT,Cervix,Seminiferous tubules,Ovaries,Oviduct,Biology,D
53,Which one of the following hormone Is responsible for the labor pains In human female at the time of birth of baby,Corticosteroid,Estrogen,Progesterone,Oxytocin,Biology,C
54,"Fluid secreted by Sertoli cells provides liquid medium, protection and nourishment to:",Sperms,Polar body,Spermatogonia,Oocyte,Biology,B
55,Corpus luteum during female reproductive cycle produces,Luteinizing Hormone,Testosterone,Follicle stimulating hormone,Progesterone,Biology,D
56,Due to the process of follicle atresia:,Graafian follicle ovulates,Follicles reach maximum size,Follicle degenerates,Follicle starts to mature,Biology,B
57,Main function of the epididymis is to:,Transport sperms,Connect with urethra,Hold the process of spermatogenesis,Produce semen,Biology,A
58,Immediate next stage of spermatogonia differentiation is:,Secondary spermatocyte,Primary spermatocytes,Spermatids,Sperms,Biology,C
59,Which of the following is included In paired cranial bones,Occipital,Temporal,Vomer,Frontal,Biology,A
60,Which of the following skeletal disorder is an example of autoimmune disorder,Rickets,Spondylosis,Rheumatoid arthritis,Sciatica,Biology,C
61,Which feature is possessed by smooth muscles,Striated appearance,Uni-nucleate,Branched,Voluntary,Biology,C
62,The accumulation of â€˜lactic acidâ€™ in the muscles results in,Extreme fatigue,Paralysis,Convulsion,Muscle contraction,Biology,A
63,Thick filaments in skeletal muscles are composed of:,Myosin,Troponin,Tropomyosin,Actin,Biology,B
64,Sarcomere is part of myofibril between:,Two I bands,Two M lines,Two Z lines,Two A bands,Biology,D
65,Medulla Oblongata is a part of:,Hind brain,Mid brain,Forebrain,Hippocampus,Biology,C
66,Which of the following is NOT a bone of upper limb,Ulna,Radius,Humerus,Femur,Biology,C
67,Bone forming cells are:,Osteocytes,Osteons,Osteoblasts,Osteoclasts,Biology,A
68,The chromosomes was first observed by;,Mendel,Griffith,Walther,T. H Morgan,Biology,C
69,Number of moles in an element is directly proportional to:,Molar mass of an element,Empirical formula mass,Mass of an element,Formula mass,Chemistry,A
70,The type and relative amount of each isotope in an element can be found by:,N.M.R,R spectroscopy,U. V spectroscopy,Mass Spectrometry,Chemistry,C
71,The atomic masses of element depend upon:,Number of isotopes & their abundance,Atomic number,None of the them,Number of electrons,Chemistry,D
72,No individual atom in the sample of 1 mole of Neon has a mass of 20.18 a.m.u. because it is:,Overall mass of an isobar,It is a fractional mass,It is molar mass of Ne,Average atomic mass of Ne,Chemistry,D
73,The p orbital has:,5 Lobes,2 Lobes,3 Lobes,4 Lobes,Chemistry,A
74,Which of the following electronic configuration is correct for carbon,1s2 2s2 2p2,1s2 2s2 2p4,1s2 2s2 2p3,1s2 2s2 2p1,Chemistry,C
75,Intermolecular forces between molecules of ideal gas are:,Absent,Moderate,Strong,Weak,Chemistry,D
76,The correct ideal gas equation is:,yV=nRt,pV=nRt,gV=nRt,qV=nRt,Chemistry,B
77,The real gases show deviation from ideal behavior at:,High temperature and high pressure,Low temperature and low pressure,High temperature and low pressure,Low temperature and high pressure,Chemistry,C
78,"In order to boil water at 110Â°C, external pressure should be:",660-700 torr,760 â€“ 1200 torr,665-670 torr,200 â€“ 760 torr,Chemistry,B
79,Which one of the following DO NOT have tendency to form hydrogen bonding,Ammonia,Ethyl alcohol,Hydrocarbon,Carboxylic acid,Chemistry,D
80,Boiling point of a liquid is a temperature at which:,Vapor pressure equals the atmospheric pressure,Surface tension Is greater than the atmospheric pressure,Viscosity equals the atmospheric pressure,Viscosity is less than the atmospheric pressure,Chemistry,C
81,Whenever the crystalline solids are broken they do so along definite planes known as:,Sagittal planes,Refractory planes,Cleavage planes,Coronal planes,Chemistry,A
82,One of the following Is NOT an example of amorphous solids,Rubber,Plastic,Glucose,Glass,Chemistry,C
83,In graphite the carbon atoms are arranged in which of the following structure,Rhombic,Trigonal,Tetragonal,Hexagonal,Chemistry,B
84,The principle that states that if a stress is applied to a system at equilibrium the system nullify the effect of stress as far as possible is:,Charles,Boyleâ€™s,Haberâ€™s,Le-Chatelier,Chemistry,B
85,Identify the CORRECT option required for the maximum yield of ammonia by Haberâ€™s Process:,High pressure high temperature continual removal of ammonia,Low pressure low temperature continual removal of ammonia,High pressure low temperature continual removal of ammonia,High pressure low temperature continual addition of ammonia,Chemistry,A
86,Consider the following reaction in equilibrium turn the cloudy solution into clear solution,A,C,D,B,Chemistry,D
87,Identify the correct formula to calculate rate of reaction:,Change in concentration of substance Ã· Time taken for the change,Time taken for the change x concentration of substance,Time taken for the change Ã· Change in concentration of substance,Time taken for the change + concentration of substance x 100,Chemistry,A
,,,,,,Chemistry,B
,,,,,,Chemistry,D
,,,,,,Chemistry,B
,,,,,,Chemistry,C
,,,,,,Chemistry,C
,,,,,,Chemistry,D
,,,,,,Chemistry,D
,,,,,,Chemistry,A
,,,,,,Chemistry,C
,,,,,,Chemistry,C
,,,,,,Chemistry,D
,,,,,,Chemistry,B
,,,,,,Chemistry,D
,,,,,,Chemistry,A
,,,,,,Chemistry,B
,,,,,,Chemistry,D
,,,,,,Chemistry,C
,,,,,,Chemistry,D
,,,,,,Chemistry,B
,,,,,,Chemistry,C
,,,,,,Chemistry,A
,,,,,,Chemistry,C
,,,,,,Chemistry,B
,,,,,,Chemistry,A
,,,,,,Chemistry,B
,,,,,,Chemistry,B
,,,,,,Chemistry,B
,,,,,,Chemistry,C
,,,,,,Chemistry,B
,,,,,,Chemistry,A
,,,,,,Chemistry,D
,,,,,,Chemistry,B
,,,,,,Chemistry,B
,,,,,,Chemistry,C
,,,,,,Chemistry,A
,,,,,,Physics,D
,,,,,,Physics,A
,,,,,,Physics,B
,,,,,,Physics,C
,,,,,,Physics,C
,,,,,,Physics,B
,,,,,,Physics,C
,,,,,,Physics,A
,,,,,,Physics,A
,,,,,,Physics,A
,,,,,,Physics,B
,,,,,,Physics,A
,,,,,,Physics,B
,,,,,,Physics,D
,,,,,,Physics,D
,,,,,,Physics,D
,,,,,,Physics,D
,,,,,,Physics,B
,,,,,,Physics,C
,,,,,,Physics,A
,,,,,,Physics,C
,,,,,,Physics,B
,,,,,,Physics,C
,,,,,,Physics,B
,,,,,,Physics,C
,,,,,,Physics,C
,,,,,,Physics,B
,,,,,,Physics,B
,,,,,,Physics,B
,,,,,,Physics,A
,,,,,,Physics,C
,,,,,,Physics,C
,,,,,,Physics,B
,,,,,,Physics,D
,,,,,,Physics,B
,,,,,,Physics,D
,,,,,,Physics,C
,,,,,,Physics,C
,,,,,,Physics,B
,,,,,,Physics,B
,,,,,,Physics,A
,,,,,,Physics,A
,,,,,,Physics,D
,,,,,,Physics,C
,,,,,,Physics,A
,,,,,,Physics,A
,,,,,,Physics,B
,,,,,,Physics,A
,,,,,,Physics,B
,,,,,,Physics,A
,,,,,,Physics,C
,,,,,,Physics,B
,,,,,,Physics,D
,,,,,,Physics,C
,,,,,,English,A
,,,,,,English,C
,,,,,,English,D
,,,,,,English,C
,,,,,,English,B
,,,,,,English,A
,,,,,,English,B
,,,,,,English,A
,,,,,,English,A
,,,,,,English,A
,,,,,,English,A
,,,,,,English,C
,,,,,,English,B
,,,,,,English,C
,,,,,,English,A
,,,,,,English,B
,,,,,,English,A
,,,,,,English,C
,,,,,,General Knowledge,A
,,,,,,General Knowledge,A
,,,,,,General Knowledge,B
,,,,,,General Knowledge,B
,,,,,,General Knowledge,A
,,,,,,General Knowledge,B
