ID,Question,Option 1,Option 2,Option 3,Option 4,Subject,Answers
54,Which cells in male in the human males are responsible for the release of testosterone,Hypothalamus,Pituitary gland,Leydig cells or interstitial cells,Sertoli cells,Biology,B
55,Fertilized ovum is implanted and undergoes further development in the,Cervix,Uterus,Ovary,Oviduct,Biology,C
56,Level of luteinizing hormone (LH) is maximum in blood during which stage of menstrual cycle?,Menstrual stage,Secretory stage,Proliferative stage,Ovulation stage,Biology,D
57,Major source of transmission of syphilis is,Insect bite,Contaminated water,Blood transfusion,Sexual contact,Biology,A
58,What is FALSE about cartilage?,It is a form of connective tissue,There are many blood vessels in in cartilage,It is much softer than bone,It covers ends of the bones at joints,Biology,B
59,Which of the following is a muscle component that act as store for energy?,Myoglobin,Creatine-PO4,ATP,Creatinine-PO4,Biology,C
60,"The division of cocci in three planes form sarcina, which is a cube of _____ cocci?",8,4,2,16,Biology,D
61,Hinge joint is present between which of the following bones ?,Femur and acetabulum,Femur and pectoral girdle,Humerus and radio-ulna,Humerus and pectoral girdle,Biology,A
62,Test cross is made to check the genotype of a trait. Which of the following crosses is a test cross ?,Unknown X At,Unknown X AB,Unknown X TT,Unknown X tt,Biology,B
63,"What happen when a Rh-ve woman, married to Rh+ve man conceives a child who is Rh+ve ?",Maternal-fetal incompatibility,Paternal-fetal incompatibility,Death of mother,Cancer of fetus,Biology,C
64,DNA store biological information in discrete units termed as,Karyotype,Genes,Phenotype,Cells,Biology,D
65,"To study sex linkages in drosophila, Morgan mated white eyed males with wild type red eyed females. What will be the phenotype of offspring?",White eyed females and red eyed males,Red eyed females and white eyed males,All white eyed females and males,All red eyed males and females,Biology,A
66,Which of the following is X linked Dominant disorder?,Color blindness,Hypertrichosis,Hypophosphatemic rickets,Haemophilia,Biology,B
67,Mode of inheritance in human can be traced through,Experimental Mating,Chi Square Chart,Probability Analysis,Pedigree Analysis,Biology,C
68,One a.m.u stands for,1 atom of all the elements,1/12th of a carbon,1/12th of H,An atom of C-12,Biology,D
69,A compound of sodium oxide has 74.2% sodium and 25.8% of oxygen. The empirical formula of the compound is,NaO,Na2O,Na2O2,NaO2,Chemistry,A
70,Which of the following is NOT found in skeletal muscle fiber in human?,Large amount of hemoglobin,Multiple mitochondria,Large amount of myoglobin,Multiple nuclei,Chemistry,B
71,"According to which scientist, the probability of finding electron at a certain position is possible?",De-Broglie,Schrodinger,Bohr’s,Hund’s,Chemistry,C
72,Which gas discharge tube produces lightest canal ray particles?,H2,Ar,Ne,He,Chemistry,D
73,"Which element has the ground state electronic configuration of 1s2, 2s2, 2p6, 3s2, 3p6 ?",S,Ar,Cl,Na,Chemistry,A
74,What is the proton ( atomic number ) of  an element that has four unpaired electrons in its ground state,22,14,26,6,Chemistry,B
75,"A gaseous mixture contains 9.6% NH3, 22.6% N2 and 67.8%H2 gases. If the Total pressure is 50 atm, then the partial pressure of H2 is",50 × 100 / 50,67.8 × 100/50,67.8+50 / 100,67.8 × 50 /100,Chemistry,C
76,"If we want to raise the temperature of one mole of an ideal gas by one kelvin, we have to provide how much amount of energy?",8.314 dm3-atm,0.0821 dm3-atm,0.0821 joules,0.0821 kJ,Chemistry,D
77,The process of heat flow between hotter and colder gases remains continued until all the molecule have equal,Average vibrational K.E,Average transnational K.E,Average rotational K.E,Average transnational P.E,Chemistry,A
78,"In liquid, with the change in dipole-dipole forces, there is a Change in some physical properties. Select the properties which is not affected by the strength of dipole-dipole forces?",Moles,Heat of vaporization,Heat of sublimation,Boiling point,Chemistry,B
79,Which of the following factor does not affect the magnitude of vapor pressure?,Size of liquid,Temperature of liquid,Amount of liquid,Intermolecular forces,Chemistry,C
80,30 grams of 2- propanol were mixed with excess acidified K2Cr207 and boiled under reflux for 20 minutes. The organic product was then collected by distillation. The yield of product was 75.0%. What is the mass of product produced?,1.74g,21.75g,2.74g,29g,Chemistry,D
81,Which type of solid is called as atomic solid,Metallic solids,Covalent solids,Molecular solids,Ionic solids,Chemistry,A
82,The decrease in solubility of the salt in a solution that already contains an ion common to that salt is known as,Common ion effect,Ksp,Le Chatelier’s principle,Solubility product,Chemistry,B
83,The precipitation occur if the ionic concentration is,More than ksp,Present in any amount,Less than ksp,Equal to ksp,Chemistry,C
84,One can estimate the direction in which equilibrium will shift with help of,Law of mass action,Law of heat of formation,Mess’s law,Le Chatelier’s principle,Chemistry,D
85,What is the overall order of this rate equation ? Rate= k [H2][NO2]^2,1,2,4,3,Chemistry,A
86,The catalysis in which the catalyst and the reactants are in the same phase is known?,Heterogeneous catalyst,Slow,Homogenous catalyst,Fast,Chemistry,B
87,Born-Haber cycle is used to determine the lattice energy of ionic compounds. It is the application of,Henry’s law,Hess’s law,Le Chatelier’s principle,Common ion effect,Chemistry,C
88,Which of the following term is state function?,Sublimation,Decomposition,Enthalpy,Freezing,Chemistry,D
89,An electrochemical cell is based upon which reaction,Redox reaction,Neutralization reaction,Nuclear reaction,Acid-base reaction,Chemistry,A
90,A small building block which belongs to whole information about crystal structure is called,Unit cell,Cell,Crystal unit,Crystal lattice,Chemistry,B
91,Which of the following element has smaller size?,Na,Li,Al,K,Chemistry,C
92,"Among LiCl, BeCl2, NaCl, CsCl, the compounds with the greatest and least ionic character respectively are",CsCl and BeCl2,NaCl and LiCl,CsCl and NaCl,LiCl and CsCl,Chemistry,D
93,Which statement describes the conversation of magnesium atoms to magnesium ions for ionic bond formation with chlorine,"The change is oxidation, because there has been a gain of electrons","The change is oxidation, because there has been a loss of electrons","The change is reduction, because there has been a loss of electrons","The change is reduction, because there has been a gain of electrons",Chemistry,A
94,AB4 type with no lone pairs geometry enables to form which shape of molecules,Regular tetrahedron,Regular octahedron,Regular pyramidal,Trigonal,Chemistry,B
95,Which dimer of Aluminum chloride is formed,Aluminum is electron rich,Aluminum is having lone pair of electron,Aluminum forms coordinate bond with chlorine to complete its octet,Aluminum donates lone pair to form bridge,Chemistry,C
96,"Which group of the periodic table contain non-metals, metalloids and metals.",VII A,VI A,IV A,I B,Chemistry,D
97,Which of the following sulphate compound is insoluble in water?,CaSO4,MgSO4,BeSO4,BaSO4,Chemistry,A
98,Which of the following complex show a tetrahedral geometry?,[Au(Cl)4]-,[Pt(NH3)4]+2,[Cu(CN)4]-2,[Fe(CO)5],Chemistry,B
99,In which pair one has all unpaired d orbitals while other have all paired d orbitals,Cr and Fe,Cu and Zn,Mn and Co,Cr and Zn,Chemistry,C
100,"In which of the following, oxygen shows fractional oxidation number",OF2,Cl2O7,Na2O2,KO2,Chemistry,D
101,The compound containing R-SH functional group are known as,Thio-alcohol,Nitrile,Thio-ether,Alcohol,Chemistry,A
102,"What is the number of isomers of hydrocarbon having a molecular formula, C4H8?",3,4,5,2,Chemistry,B
103,Alkyl benzene is formed when benzene is treated with an alkyl halide in the presence of anhydrous aluminum chloride. Identity the type of reaction.,Friedel-Craft alkylation reaction,Halogenation,Friedel-Craft acylation reaction,Sulphonation,Chemistry,C
104,Three alternate single and double bonds in benzene are called,Coordinate covalent bond,Conjugate bonds,Ionic bonds,Fixed bonds,Chemistry,D
105,Which of the following compound is more acidic?,Alkene,Alkane,Cycloalkane,Alkyne,Chemistry,A
106,"Consider the chlorination of methane, the attack of chlorine free radical on methane form methyl free radical occur in?",Propagation step,Last step,Termination step,Initiation step,Chemistry,B
107,The ratio of sigma to pi electrons in benzene is?,4:01,3:01,1:03,1:04,Chemistry,C
108,"When halogen is removed from alkyl halide a carbocation is formed, identify the most reactive carbocation",Tertiary carbocation,Secondary carbocation,Primary carbocation,Methyl carbocation,Chemistry,D
109,Freon is commonly known as?,A fire extinguisher,Refrigerant,Insecticides,A solvent,Chemistry,A
110,"In which of the following functional groups, the carbon atom is sp hybridized?",#NAME?,#NAME?,#NAME?,#NAME?,Chemistry,B
111,"What is the common name of 1, 2, 3-propanetriol?",Butyl alcohol,Glycol,Propyl alcohol,Glycerol,Chemistry,C
112,Benzene is formed when Na reacts with which of the following?,Alcohol,Propanol,Phenol,Butyl alcohol,Chemistry,D
113,"When phenol reacts with formaldehyde, which of the following product is produced?",Hydronium ion,Phenoxide ion,Oxinium ion,Adduct,Chemistry,A
114,Which of the following is the correct name of CH3CH2CH2COCH2CHO ?,3-one hexanal,3-keto hexanol,3-oxo hexanal,3-oxo hexanol,Chemistry,B
115,Which is the most suitable reagent for the conversion of R-CH2OH->RCHO ?,Cr2O4/H2SO4(Conc.),K2Cr2O7/H2SO4 (Conc.),KMnO4/NaOH,CrO3,Chemistry,C
116,Which of the following is also called silver mirror test ?,Tollen’s reagent test,Benedict’s solution test,Fehling’s solution test,Iodoform test,Chemistry,D
117,Which among the following have least pH?,CH3CH2COOH,CH3CHCLCOOH,CH3CH2CH2COOH,CH2CLCH2COOH,Chemistry,A
118,"If carboxylic acid and ketone groups C=O are present in a chain, then final name will be given as",Both 1 and 2,"One, oic acid","Oxo, oic acid",None of these,Chemistry,B
119,"When carboxylic acid and carboxylic acid have similar molecular weight, how do their melting point compare?",Carboxylic acids have greater melting point,No any consistent trend exits,Both acids have similar melting points,Carboxylic acids have greater melting point,Chemistry,C
120,Neopentylchloride belongs to which class of alkyl halide?,Quaternary alkyl halide,Primary alkyl halide,Tertiary alkyl halide,Secondary alkyl halide,Chemistry,D
121,"When food reaches stomach, the action of the following come to an end due to acidic pH?",Lipases,Hydrolases,Amylase,Maltase,Chemistry,A
122,Which of the following proteins act as carrier of copper in blood plasma?,Histone,Glycoprotein,Ceruloplasmin,Hemoglobin,Chemistry,B
123,What is the shape of velocity-time graph for constant acceleration?,Incline curve,Straight line,Parabola line,Decline curve,Physics,C
124,Which of the following is the correct definition of variable velocity?,Unequal distance are covered in equal intervals of time,Unequal displacements are made in equal intervals of time,Unequal distance are covered in unequal intervals of time,Equal displacements are made in equal intervals of time,Physics,D
125,A stone thrown horizontally from top of a tall building follows a path that is,Made of two straight line segments,Hyperbolic,Circular,Parabolic,Physics,A
126,A fireman wants to slide down a rope. The breaking load of the rope is 3/4 th of the weight of the man. With what acceleration should the fire man slide down? (Acceleration due to gravity is ‘g’),g,0,3g/4,g/4,Physics,B
127,When a heavy coin falls a short distance towards the ground it does not reach terminal velocity. Why is this so?,The weight of coin is equal to air resistance,The weight of coin increase as air resistance increases,The coin has not hit the ground,The weight of coin is more than air resistance,Physics,C
128,The consumption of energy by a 60 W bulb in 2s is:,60 J,120 J,30 J,0.02 J,Physics,D
129,"A long spring, when stretched by a distance x, has potential energy V. On increasing the stretching to nx, the potential energy of the spring will be:",n^2 V,V/n^2,nV,V/n,Physics,A
130,"Ignoring details associated with friction, extra forces exerted by arm and leg muscles, and other factors, we can consider a pole vault as the conversion of an athlete’s running kinetic energy to gravitational potential energy. If an athlete is to lift his body 5m during a vault, what speed must he have when he plants his pole?",10m/s,5m/s,20m/s,15m/s,Physics,B
131,A particle of mass m at rest is acted upon by a force P for time t. Its kinetic energy after time t is :,(P^2 t^2)/m,(P^2 t^2)/3m,(P^2 t^2)/4m,(P^2 t^2)/2m,Physics,C
132,The number of revolution in 3n radians is,2,Jan-60,6,2-Mar,Physics,D
133,"If a flywheel is rotating at 3.0 rad/s, the time takes to complete one revolution is about",1.3 s,2.1 s,1.0 s,0.067 s,Physics,A
134,A fighter plane is moving in a vertical circle of radius r. Its minimum velocity at the highest point of the circle will be ?,(gr/2),√(2gr,√(gr,√(3gr,Physics,B
135,Which of the following increase by increasing amplitude?,Frequently,Zero,Loudness,Wavelength,Physics,C
136,An airplane travels at speed of 0.5v where v is the speed of sound. The airplane approaches a stationary observer. The frequency of sound emitted by the aircraft is 200 Hz. Which frequency does the observer hear?,120 Hz,100 Hz,180 Hz,400 Hz,Physics,D
137,"If the wavelength of light coming from a galaxy shifts towards the red end of spectrum, then galaxy is",Receding the Earth,Stationary,Approaching Earth,Approaching Earth or is stationary,Physics,A
138,The shortest distance between any two points in phase on a wave is called,Frequency,Displacement,Amplitude,Wavelength,Physics,B
139,When will the oscillation stop in the absence of resistive forces,Never,After 10 minutes,In 10 minutes,Immediately,Physics,C
140,Reducing mass M of spring suspending body to one fourth will change the frequency of oscillation to,Quadruple,Half,Double,One fourth,Physics,D
141,Thermodynamics is that branch of physics in which we study,Relations between chemical and mechanical energies,Relations between heat and mechanical energies,Relations between heat and ionization energies,Relations between K.E and P.E energies,Physics,A
142,"When a gas is compressed isothermally, the product of its pressure and volume during the process is",Not constant,Zero,Proportional to entropy,Constant,Physics,B
143,"Temperature of the given mass of gas is changed from 150 C to 300 C during an barbaric process, volume of the gas will become",Less than double,Double,Half,Remain same,Physics,C
144,A capacitor charged with a battery and energy stored is U. After disconnecting battery another capacitor of same capacity is connected in parallel to the first capacitor. Then energy stored in each capacitor is,4U,U/4,2U,U/2,Physics,D
145,What is the potential difference between two points in an electric field if it takes 600 J of energy to move a charge of 2 C between these two points?,0 J,800 J,1200 J,300 J,Physics,A
146,Gauss law cannot be used to find which of the following quantity?,Charge,Electric field intensity,Electric flux density,Permittivity,Physics,B
147,Which one of the following statement is true?,Electrostatic force obeys inverse square law while gravitational forces does not,Both electrostatic force and gravitational force doesn’t obey inverse square law,Gravitational force is much weaker than electrostatic force,Both gravitational force and electrostatic force are repulsive in nature,Physics,C
148,The mechanical waves are not generated by,Electric and magnetic fields,Water,Coil of spring,Ropes,Physics,D
149,A distant star is receding from Earth with a speed of 1.40 × 10^7 m/s. It emits light of frequency 4.57 × 10^14 Hz. The speed of light is 3.0 × 10^8 m/s. The Doppler effect formula can be used with light waves. What will be the frequency of this light when detected on Earth?,4.37 × 10^14 Hz,4.79 × 10^14 Hz,2.04 × 10^13 Hz,4.57 × 10^14 Hz,Physics,A
150,"A charges particle is moving in a uniform electric field. For the motion of the particle due to the field, which quantity has a constant non-zero value ?",Displacement,Rate of change of acceleration,Velocity,Acceleration,Physics,B
151,A capacitor of capacitance ‘C’ has charge ‘Q’ and stored energy is ‘W’. If the charge increases to ‘2Q’. The stored energy will be :,4W,W/4,2W,W/2,Physics,C
152,How much potential drop exist across closed switch ?,3 V,2 V,0 V,1 V,Physics,D
153,A 3 V battery is connected in series with ammeter and 2-ohm resistance after short circuiting. What will be the reading of ammeter?,1:00 AM,5:00 AM,6:00 AM,1.5 A,Physics,A
154,The resistance of a conductor does not depend on which of the following?,Mass,Length,Resistivity,Area,Physics,B
155,Which of the following statement is NOT CORRECT about Kirchhoff’s rule ?,Kirchhoff’s rules are more suitable in AC circuits,Kirchhoff’s current rule based upon the law of conservation of charge,Kirchhoff’s voltage rule based upon the law of conservation of energy,Wheatstone bridge is an application of Kirchhoff’s rule,Physics,C
156,What do the substances whose resistance decrease with increase in temperature have ?,Zero temperature coefficient,Positive temperature coefficient,Negative temperature coefficient,High temperature coefficient,Physics,D
157,A low voltage supply with an e.m.f of 20 V and an internal resistance of 1.5 ohm is used to supply power to a heater of resistance 6.5 ohm in a fish tank. What is the power supplied to the water in the fish tank?,41 W,53 W,50 W,62 W,Physics,A
158,Electric forces change the magnitude and direction of velocity while magnetic forces change___ of velocity,Magnitude and direction,Neither magnitude nor direction,Only direction,Only magnitude,Physics,B
159,The coulomb’s constant K depend upon:,Nature of medium,Nature of medium and system of units,Types of charge,System of units,Physics,C
160,"Which surface has greater magnetic flux in same magnetic field, each has an area 1 m^2.",Rectangular,Flux is independent of shape,Circular,Square,Physics,D
161,The source of magnetic field us,An isolated magnetic pole,Current loop,Nonmagnetic substance,Static electric charge,Physics,A
162,One-meter-long copper rod is moving with speed 20 m/sec in the magnetic field of strength 0.6 tesla. What is the value of induced emf?,10v,16v,14v,12v,Physics,B
163,The unit of ΔΦ / Δt can be written as ?,NmA-1s-1,NmAs-1,NmA-2s-1,NmA-2s1,Physics,C
164,Working principle of magnetic levitation train is according to?,Ohm law,Lenz law,Faraday law,Max planks law,Physics,D
165,A copper hoop is held in a vertical east-west plane in a uniform magnetic field whose field lines run along the north-south direction. The largest induced emf is produced when the hoop is?,Rotated about east-west axis,"Moved rapidly, without rotation, toward the south","Moved rapidly, without rotation, toward the east",Rotated about north-south axis,Physics,A
166,"In transformer, there is no ___ connection between the two coils but they are ___ linked?","Electrical, optically","Electrical, magnetically","Magnetic, electrically","Magnetic, magnetically",Physics,B
167,"When the temperature of semiconductor suddenly drops zero kelvin, then a semiconductor acts as:",Insulator,Conductor,Semi-conductor,Super conductor,Physics,C
168,"If electron, proton, neutron and alpha particle have same velocity, which of them has the shortest wavelength",Electron,Proton,Neutron,Alpha particle,Physics,D
169,The process of ejection of loosely bound electrons from a certain photo sensitive surface by absorption of photon is called,Compton effect,Pair production,Black body radiation,Photoelectric effect,Physics,A
170,"In a photoelectric effect spectrum, the stopping potential is:",The K.E of the most energetic electron ejected,The P.E of the most energetic electron ejected,The electric potential that cause the electron current to vanish,The photon energy,Physics,B
171,The spectrum of hydrogen atom contain the spectral line in the region of:,Infrared,Ultraviolet,Visible,All of these,Physics,C
172,The speed of electron in the first bohr orbit is:,2.19 × 10^6 m/s,2.19 × 10^-4 m/s,2.19 × 10^-6 m/s,2.19 × 10^4 m/s,Physics,D
173,A low energy neutron has RBE factor of 10. How much energy is absorbed by a man of mass 80 kg if the value or equivalent does is 400 rem?,16 J,48 J,64 J,32 J,Physics,A
174,It has been observed that Thorium (90^234)Th is transformed into protactinium (_91^234)Pa after the emissions of_ particle:,Alpha,Gama,"Alpha, Beta, Gamma",Beta,Physics,B
175,The half-life of Strontium (Sr) is 8.70 hours. Its decay constant is :,0.000032 s,0.000022 s,0.000022 s,45000 s,Physics,C
176,Synonym of the word ‘Capricious ‘ is:,Uniform,Invariable,Fickle,Predictable,Physics,D
177,Disease like diabetes are supposed to be taken seriously or they can be…… Which of the following words will fill in the blank most appropriately?,Fatal,Impersonating,Healthy,Cursing,English,A
178,Choose the most appropriate antonym for “Abandonment “,Stoppage,Halt,Extension,Cessation,English,B
179,Fill in the blank with the correct word. The shepherd ploughed this mountain with cattle the first time in______ever ploughed.,Was,Had,Was been,Had been,English,C
180,"To give one some idea of Rabies’ horrors, one  _____ only   read such descriptions as the following: spasms, restlessness, shudders at the least breath of air, an ardent thirst, convulsive movements, and fits of furious age.",Needs,Has needed,Needed,Need,English,D
181,"By 2030, people _____been reading the works of Charles Dickens for more than 190 years",Will have,Have,Had,Will,English,A
182,Choose the most suitable/appropriate sentence out of the following,Penny did not let me to get my book,Penny had not left me get my book,Penny was not leaving me to get my book,Penny did not let me get my book,English,B
183,Which one of the following is correct,"We visited, Istanbul, Turkey, and Kowloon, Hong kong last summer","We visited Istanbul, Turkey, and Kowloon, Hong kong last summer.","We visited: Istanbul, Turkey, and Kowloon, Hong kong last summer","We visited Istanbul, Turkey, Kowloon, Hong kong last summer",English,C
184,Which of the following sentence is correct,How could Sarah persuade her mum to stay out later?,How could Sarah parswad her mum to stay out later?,How could Sarah persuad her mum to stay out later?,How could Sarah parsuade her mum to stay out later?,English,D
185,Choose the sentence with correct use of the article,Natasha can play the piano and the violin.,Natasha can play piano and violin.,Natasha can play the piano and a violin.,Natasha can play a piano and a violin.,English,A
186,Distribute the handouts_____the candidates. The correct preposition to be filled in is,Among,In,Into,On,English,B
187,Choose the correct sentence,This scissor is very sharp,These scissors are very sharp,This scissors is very sharp,These scissor are very sharp,English,C
188,"Identify the sentence, out of the following, that is error free",I do not enjoying being laughed at by other people,I am not enjoying laughing by other people,I did not enjoy laughing by other people,I do not enjoy being laughed at by other people,English,D
189,Choose the sentence that is grammatically correct,We agreed that the play was rather bore so we felt bores,We agreed that the play was rather bores so we felt bored,We agreed that the play was rather bored so we felt boring,We agreed that the play was rather boring so we felt bored,Logical Reasoning,A
190,I decided to sell the piece of land when I was offered more _____price. The most appropriate word to be filled in here is,Exact,Perfect,TRUE,Realistic,Logical Reasoning,B
191,“To cut off the head”. Idiom means,Urbanite,Impaled,Decapitate,Defrock,Logical Reasoning,C
192,Wasim was so good at mathematics that people considered him to be a______ Fill in the blank with the correct response,Primeval,Profligate,Prodigy,Prodigal,Logical Reasoning,D
193,The newly elected president and CEO for the newly established branch of our company_______arrived recently.  Fill the blank with appropriate choice,Having,Have,Have been,Has,Logical Reasoning,A
194,"Observe the pattern and select next term in sequence: CAB, FAE, IAH",IGJ,JGK,JHK,LAK,Logical Reasoning,B
195,I. The literacy rate in the district has been increasing. II. The district administration has conducted extensive training program for the workers involved in the literacy drive.,Statement I is the cause and statement II is its effect,Both statements I and II are independent causes,Statement II is the cause and Statements I is the effect,Both the statement I and II are effects of independent cause,Logical Reasoning,C
196,"Read the passage and the following statement below. Then choose the correct option, basing your answer only on the information provided.Queen Elizabeth II’s Platinum Jubilee, celebrating her 70 years on the British throne, was above all a tribute to one of history’s great act of constancy. Her reign spanned virtually the entire post-world War II era, making her a witness to cultural upheaval from the beatles to BrexitStatements:I. There has been another queen of the British throne named Elizabeth before her.II. Brexit is a normal occurrence.III. Elizabeth was queen of the British during World War II.",Only I and II are correct,Only III is correct,"I, II and II; all are correct",Only I is correct,Logical Reasoning,D
197,"Read the following and choose correct answer:Drake was wearing a blue shirt with black Jean and brown shoes. John was wearing a red shirt with black jeans and black shoes. Ahmed was wearing blue shirt with blue jeans and brown shoes. Nahaz claims he saw someone wearing black jeans, a blue or red shirt, and shoes that were not black. Who did he see?",Ahmed,Cannot elicit from given information,Drake,John,Logical Reasoning,A
